,Palavra,Relevância
0,de,10.610612200301492
1,do,9.800717471366696
2,da,9.159126706059979
3,que,8.99533534582011
4,e,8.955544782858333
5,o,8.692833980987029
6,a,8.637625746364574
7,dos,8.011809207342987
8,em,7.944481383334526
9,para,7.710707314239869
10,são,7.4578979186704615
11,um,7.391517758317852
12,uma,7.288942917901919
13,no,7.2780166549169785
14,com,7.163931823164749
15,paulo,7.0795601711331395
16,os,6.977411718022709
17,é,6.948667452837545
18,se,6.930374801996896
19,das,6.9238028378247805
20,as,6.851823693307829
21,na,6.849452868760334
22,não,6.8292053209579135
23,por,6.796136892456971
24,mais,6.609447313098069
25,-,6.516299393221553
26,silva,6.509970968948924
27,brasil,6.499532429446032
28,como,6.421909755270102
29,ao,6.419840034252641
30,rio,6.375130369637926
31,à,6.3747904900398895
32,às,6.326491483788505
33,foi,6.252889028917671
34,tv,6.235233791996123
35,2020,6.210667557956697
36,governo,6.180190487050296
37,mas,6.174553834392936
38,rádio,6.123882969411199
39,ou,6.041750366981343
40,sobre,5.944815595048909
41,caso,5.9159327753848325
42,dias,5.820968822094861
43,diz,5.813540545341642
44,política,5.78254564591636
45,trabalho,5.7441103408796055
46,anos,5.726472573968587
47,nos,5.708174530674779
48,banco,5.699975685121206
49,justiça,5.693598874528807
50,tem,5.672957239632598
51,você,5.671372714510409
52,nacional,5.6608551631019575
53,notícias,5.6599863787715465
54,pelo,5.64039075322731
55,federal,5.624051565948827
56,ser,5.6207184108037325
57,também,5.517431599112637
58,eleições,5.50099040981539
59,sua,5.440712571885862
60,bolsonaro,5.440712571885862
61,já,5.417866924165533
62,está,5.402726852723503
63,apenas,5.385462972469937
64,sem,5.380682593211729
65,saúde,5.356388772341637
66,todos,5.342532328239967
67,nas,5.342532328239967
68,mundo,5.339871483301762
69,pela,5.327590588162454
70,presidente,5.282489026823284
71,sp,5.18367732590477
72,candidatos,5.179192437277464
73,prefeito,5.136191016446703
74,quem,5.099487786049081
75,cultura,5.092654892097355
76,ministro,5.08819201253841
77,entre,5.043506008969492
78,twitter,5.036441186823817
79,público,5.03433936443466
80,economia,4.995347510235192
81,hoje,4.983955341409339
82,tempo,4.983955341409339
83,agora,4.973736378051492
84,seu,4.915871887402444
85,foram,4.910659126794579
86,tudo,4.801372280866914
87,segundo,4.769458150588228
88,eleitoral,4.7043293454537105
89,facebook,4.7043293454537105
90,direitos,4.64959913847666
91,ibope,4.628939853089387
92,após,4.623250913590592
93,boulos,4.605108574217506
94,últimas,4.580045464657742
95,ciência,4.575086728097461
96,blogs,4.553671246526947
97,aqui,4.549682578771912
98,nesta,4.549682578771912
99,covas,4.5398221540053205
