,Palavra,Relevância
0,de,9.904342937566444
1,que,9.54466457793127
2,e,9.453183634823029
3,do,9.255957383310891
4,responder,9.240051543040362
5,da,8.88391530929072
6,a,8.864479493710792
7,o,8.822388524695747
8,-,8.720054354070509
9,josé,8.517710994474966
10,é,8.46695486205857
11,não,8.414843619699552
12,um,8.367676081238338
13,carlos,8.365634912564511
14,se,8.226392586764593
15,para,8.200731551810788
16,uma,8.165011047502126
17,em,8.149475280989224
18,dos,8.128136720378901
19,luiz,8.117785343280943
20,com,7.992181920514964
21,por,7.962381009462169
22,há,7.915630744962943
23,eu,7.90306651627523
24,maria,7.881491019858184
25,ser,7.870272872121708
26,joão,7.850794533048117
27,no,7.7836695890351
28,horas,7.775740365883516
29,mas,7.724558457860731
30,como,7.722539407550116
31,isso,7.625056813570492
32,costa,7.6125575333114375
33,ou,7.5969311419751655
34,na,7.555991928544169
35,os,7.547080750823873
36,2016,7.534375282728839
37,mar,7.50834475797896
38,as,7.47273686646647
39,você,7.466777178938618
40,bahia,7.464155657574377
41,me,7.449710358485582
42,pedro,7.448413003667826
43,paulo,7.4444928354742235
44,estado,7.398048245582833
45,das,7.396374135982563
46,santos,7.37442473328924
47,sua,7.350584018671806
48,sociedade,7.348145043017869
49,ele,7.340145071525963
50,roberto,7.338129400226487
51,augusto,7.325050087739415
52,mais,7.322749548618784
53,às,7.311677546940939
54,propriedade,7.311464421115789
55,marcelo,7.291604438527947
56,sérgio,7.288942917901919
57,fernando,7.287156852549293
58,pode,7.274108788646663
59,está,7.271595619925644
60,folha,7.265682118538851
61,fábio,7.259689921604419
62,silva,7.254030765419939
63,tem,7.211390309188474
64,lima,7.2043899256199815
65,muito,7.20353105477546
66,são,7.20170383926559
67,estadão,7.20039925422662
68,ao,7.197031264435402
69,essa,7.194838705243499
70,ana,7.189328370596501
71,freitas,7.131183075272889
72,jorge,7.1244794157025275
73,sem,7.114419081086369
74,à,7.110742694568178
75,nem,7.0897094730519274
76,eduardo,7.08916434012237
77,mesmo,7.088272105758969
78,pm,7.078462082016365
79,foi,7.078054066287529
80,antonio,7.077595272692446
81,blog,7.068200234112777
82,eles,7.06522413112753
83,anos,7.0614276874422774
84,luís,7.048218831692004
85,esse,7.047281457213238
86,almeida,7.031157247280974
87,pois,7.0142993646690694
88,ter,7.007099928501978
89,quando,7.006867229111296
90,daniel,6.988888681567611
91,–,6.98089912393882
92,seus,6.9785478037276345
93,sobre,6.972758345112097
94,rodrigo,6.970500094483071
95,|,6.961396639837754
96,capitalismo,6.957445550019883
97,alves,6.956067076473274
98,pessoas,6.949477975827739
99,só,6.937824893223029
