,Palavra,Relevância
0,boulos,5.504630689511922
1,contorcer,5.483691905776451
2,insanos,5.418906545025079
3,imbecis,5.3714557452028355
4,fecal,5.307711808932148
5,covas,5.187959168011706
6,eleicoes,4.6859014667370795
7,gleisi,4.348174978538779
8,internacao,4.186806494726289
9,clandestinas,3.9252309819873683
10,defensores,3.6155180989862807
11,antipetismo,3.613814099911934
12,exercito,3.54451033324437
13,amerela,3.2847880031704504
14,reeleicao,3.1543351160627457
15,politicatemerprotesto,3.032391137990533
16,anistia,2.893102865301559
17,russomanno,2.7597672931409716
18,davila,2.644266394754317
19,privatizacoes,2.6411310989517163
20,presidenciaveis,2.5712771439018645
21,tagged,2.5533072534075005
22,bruno,2.355381068505552
23,ambientalistas,2.3540809005100765
24,erundina,2.344194210135137
25,imoveis,2.3313930098644544
26,ussomano,2.2757020265824646
27,russomamo,2.2757020265824646
28,presidencia,2.257755067776943
29,alckmin,2.2486003894916675
30,doria,2.196797196201895
31,zeladoria,2.194150171602882
32,fertilizado,2.0810175509181343
33,prisao,2.073974327809318
34,progressista,2.06024864747397
35,secretarios,2.0433041621086274
36,balanco,2.035669097346934
37,vices,1.9843396338726833
38,camara,1.9830102421074567
39,dialogo,1.9587036640276885
40,prvidencia,1.9403716640676167
41,psdb,1.9225183677884647
42,manifestacoes,1.9093679489981235
43,chuvasspmortes,1.8978273498141014
44,coletivismo,1.885964882176302
45,jetons,1.8827624877436555
46,guilherme,1.882355341408844
47,haddad,1.840723973191863
48,freixo,1.8377050073192422
49,convencao,1.821581248746117
50,manuela,1.778281863264733
51,meirelles,1.7485862099531202
52,incendio,1.7163811540446396
53,estadão,1.7079603650875648
54,tags,1.6946448239488
55,transgêneros,1.69148929839831
56,datafolha,1.669140941942506
57,predio,1.6340060256206848
58,celso,1.6295536998443616
59,anula,1.6181017688117074
60,cavavam,1.581722113833994
61,coletivas,1.5716326838416739
62,katia,1.5661587419919605
63,joice,1.5208575471571197
64,desestatizacao,1.5199526730457382
65,psol,1.499298413752528
66,enterrar,1.4816922326728288
67,serem,1.4797036638545369
68,economico,1.461744431023576
69,hasselmann,1.4583861624800913
70,redetv,1.455331334174587
71,amontoando,1.4287297537935217
72,subprefeitos,1.404426074782377
73,reintegracao,1.395873994635746
74,pichador,1.3903685215520698
75,sabatina,1.3811553874954916
76,discursinho,1.371181799243563
77,ribeiro,1.348395879904565
78,dória,1.3196164750787227
79,zoneamento,1.314076320416831
80,quimioterapia,1.288349507955367
81,desembargadora,1.277055760348369
82,lula,1.2689060444742646
83,previas,1.266362325078848
84,marina,1.239777763295058
85,jazem,1.2292459635035604
86,cavou,1.2290714165270258
87,simbolizado,1.2269090174774024
88,mensaleiro,1.2249929743982606
89,febre,1.2198009635287281
90,meme,1.1973677416990214
91,sucessao,1.1878590516476313
92,devem,1.1675438806816856
93,fabricou,1.1673746753269219
94,educadamente,1.1630931411261805
95,sepultar,1.1500500397284654
96,critica,1.148126896666151
97,cemitérios,1.1472790839364586
98,saida,1.1362622398558448
99,correspondente,1.1357863618578405
