,Palavra,Relevância
0,boitempoeditorial,14.28640982536629
1,stassinákis,14.283294010717363
2,bacevich,14.271088829374074
3,pernías,14.270449760826216
4,thalif,14.268020375844642
5,chossudovsky,14.267021183718901
6,oroño,14.266658513570489
7,peschanski,14.266105790215088
8,noyola,14.266023007808469
9,miterhof,14.265750503713209
10,ghingaro,14.262351853191294
11,bricmont,14.258511698637223
12,postone,14.257592517018274
13,serbin,14.251892603667265
14,bhadrakumar,14.248938484089601
15,erieide,14.24651530886419
16,imprensaboitempo,14.240534668242663
17,editoraboitempo,14.240534668242663
18,pecequilo,14.234793216423368
19,engdahl,14.233375288685085
20,antissionista,14.233218086043758
21,vicenç,14.233099326952134
22,pautasso,14.232186860036778
23,apriorísticas,14.231186431658235
24,rheinische,14.228830901040821
25,maiques,14.226928992520312
26,blogdofranklin,14.225967531138288
27,kaíke,14.21978837913808
28,scheren,14.203244921046458
29,caduquice,14.19947433535131
30,pericás,14.197887094611588
31,wexell,14.195907842884274
32,propositada,14.193318660868597
33,suenya,14.191802620093782
34,alfran,14.19134758385288
35,rigoletto,14.177630772679091
36,responsada,14.176955081013555
37,diorge,14.17507367241
38,manvantara,14.174286601093117
39,leonnardo,14.173060671969145
40,poch,14.168700653324219
41,pralaya,14.161543684287901
42,zelic,14.161255517523749
43,milek,14.152824544894314
44,jakobsen,14.150725678719486
45,maierovitch,14.150260244856877
46,lacrimae,14.149759978227044
47,moschkovich,14.14782340894434
48,zahluth,14.138666160661188
49,ameni,14.137210048667757
50,squeff,14.131200897614335
51,provinientes,14.129117831423448
52,cirandeiras,14.128083438506978
53,kaysel,14.12665702307348
54,jurivê,14.125276869129188
55,giap,14.124399956501046
56,desmascaramentos,14.121975988959285
57,panayotídis,14.119485520279937
58,argyrovitz,14.119485520279937
59,vergopoulos,14.118402822943544
60,koukouma,14.118111540384023
61,skevi,14.118111540384023
62,rummel,14.117960208669317
63,boltvinik,14.117958202863143
64,argyrowitz,14.11794413033911
65,guyénot,14.11765112222622
66,amayred,14.11765112222622
67,meissan,14.11765112222622
68,cormorand,14.11765112222622
69,shollhammer,14.11765112222622
70,karganovic,14.11765112222622
71,caiat,14.11765112222622
72,nabulsin,14.11765112222622
73,hischam,14.11765112222622
74,shukrallah,14.11765112222622
75,margiocco,14.11765112222622
76,lapavitzas,14.11765112222622
77,zajek,14.11765112222622
78,lapague,14.11765112222622
79,anríquez,14.11765112222622
80,shanien,14.11765112222622
81,abunimah,14.11765112222622
82,bgatista,14.11765112222622
83,warschawsky,14.11765112222622
84,zonsheine,14.11765112222622
85,soreranu,14.11765112222622
86,léchenet,14.11765112222622
87,sharmine,14.11765112222622
88,altoman,14.11765112222622
89,sepahpour,14.11765112222622
90,belluzz,14.11765112222622
91,laohan,14.11765112222622
92,bragagli,14.11765112222622
93,edinhjo,14.11765112222622
94,sablowski,14.11765112222622
95,pöhle,14.11765112222622
96,sachettta,14.11765112222622
97,lavrentieva,14.11765112222622
98,khait,14.117023102835637
99,golovnya,14.117023102835637
