,Palavra,Relevância
0,voorwald,12.268038918440725
1,grêmios,8.873467366769919
2,boulos,8.64531500102015
3,herman,7.1471738742665
4,eleicoes,6.802454905427083
5,meireles,6.77782357681691
6,presidenciaveis,6.3693058696503595
7,politicatemerprotesto,6.355598515040471
8,fecal,6.338177659827721
9,mdacnt,6.21571250198481
10,amerela,6.077579996302651
11,haddad,5.850603325577327
12,contorcer,5.483691905776451
13,igor,5.4685068803753065
14,insanos,5.457602187437416
15,imbecis,5.409812548189387
16,mtst,5.334189227202519
17,covas,5.187959168011706
18,davila,4.921913493798176
19,daciolo,4.8501349708842065
20,guajajara,4.7291393462494575
21,erundina,4.688388420270274
22,gleisi,4.43900444756992
23,ambientalistas,4.424079758402801
24,govtech,4.3679947646523045
25,colônia,4.300898667613276
26,freixo,4.267018886609735
27,internacao,4.186806494726289
28,prisao,4.147948655618636
29,plinio,4.127819778131576
30,progressista,4.12049729494794
31,guilherme,4.0584347121684825
32,amoêdo,4.027101881599047
33,humor,4.023930290838331
34,manifestacoes,4.001850536128374
35,cynara,3.9984393708552997
36,clandestinas,3.9252309819873683
37,psol,3.89431477298933
38,meirelles,3.757376544260584
39,alvaro,3.7103618091993527
40,presidencia,3.7021279379963064
41,eymael,3.6943993161022397
42,criticas,3.669970234447866
43,defensores,3.641336000500406
44,antipetismo,3.613814099911934
45,manuela,3.556563726529466
46,exercito,3.54451033324437
47,indigena,3.4944002598926587
48,amoedo,3.447729853794299
49,neto,3.415768334937586
50,barbosa,3.3486747530178445
51,henrique,3.300802593101059
52,dialogo,3.2533363655461978
53,redetv,3.176491072026261
54,mourao,3.1707474464773133
55,alckmin,3.163317640012553
56,reeleicao,3.1543351160627457
57,pense,3.1343102914627825
58,votacoes,3.0994643139063633
59,desembargadora,3.0677095090212423
60,brasileiros,3.0537327005049946
61,ciro,3.0371947364737584
62,ocupacao,2.9815917368111693
63,economico,2.923488862047152
64,katia,2.915174454787266
65,tagged,2.9114885145923206
66,anistia,2.893102865301559
67,meme,2.8762850621364957
68,szermeta,2.8643573730589096
69,abdib,2.8384694144052665
70,eleicao,2.8111276530609826
71,candidatura,2.7611952187894473
72,russomanno,2.7597672931409716
73,fidelix,2.715326821990552
74,privatizacoes,2.6411310989517163
75,fernando,2.630287359015849
76,bolsonaro,2.6267191470732336
77,lula,2.61759446593113
78,economista,2.514913080587631
79,sabatina,2.4756951359201675
80,rogeres,2.4142485376829206
81,manifestacao,2.414174656818041
82,brasília,2.3789048082147453
83,bruno,2.355381068505552
84,imoveis,2.3313930098644544
85,pstu,2.3224558194887956
86,jilmar,2.305737855965532
87,vices,2.303746972843743
88,ussomano,2.2757020265824646
89,russomamo,2.2757020265824646
90,largo,2.2560788697501573
91,batata,2.225071923451998
92,incendio,2.218390460074948
93,reintegracao,2.2124079372295014
94,marina,2.20808874851204
95,doria,2.196797196201895
96,zeladoria,2.194150171602882
97,vera,2.154435467069388
98,fake,2.1325034550305486
99,sonia,2.120572980148407
